resp_var,pred,res,abs res,per res,abs per res,MAE,MAPE
116,98.7,17.3,17.3,14.91%,14.91%,,
56,55.1,0.9,0.9,1.61%,1.61%,,
42,37.1,4.9,4.9,11.67%,11.67%,,
23,31,-8,8,-34.78%,34.78%,,
15,12.401,2.599,2.599,17.33%,17.33%,,
98,79.6,18.4,18.4,18.78%,18.78%,,
61,48.3,12.7,12.7,20.82%,20.82%,,
63,66.7,-3.7,3.7,-5.87%,5.87%,,
112,91.5,20.5,20.5,18.30%,18.30%,,
61,52.2,8.8,8.8,14.43%,14.43%,,
27,24.301,2.699,2.699,10.00%,10.00%,,
58,54,4,4,6.90%,6.90%,,
0.01,10.806,-10.796,10.796,-107960.00%,107960.00%,,
85,77,8,8,9.41%,9.41%,,
35,48,-13,13,-37.14%,37.14%,,
7,10.2,-3.2,3.2,-45.71%,45.71%,,
45,51.4,-6.4,6.4,-14.22%,14.22%,,
31,50.7,-19.7,19.7,-63.55%,63.55%,,
1,6,-5,5,-500.00%,500.00%,,
60,66.1,-6.1,6.1,-10.17%,10.17%,,
96,83.2,12.8,12.8,13.33%,13.33%,,
48,46.1,1.9,1.9,3.96%,3.96%,,
1,7.2,-6.2,6.2,-620.00%,620.00%,,
30,45.8,-15.8,15.8,-52.67%,52.67%,,
34,33.001,0.999,0.999,2.94%,2.94%,,
8,24.1,-16.1,16.1,-201.25%,201.25%,,
21,42.4,-21.4,21.4,-101.90%,101.90%,,
35,22.1,12.9,12.9,36.86%,36.86%,,
38,38,0,0,0.00%,0.00%,,
3,18.7,-15.7,15.7,-523.33%,523.33%,,
0.01,3.809,-3.799,3.799,-37990.00%,37990.00%,,
28,28,0,0,0.00%,0.00%,,
64,67.2,-3.2,3.2,-5.00%,5.00%,,
15,32.6,-17.6,17.6,-117.33%,117.33%,,
2,32,-30,30,-1500.00%,1500.00%,,
95,76.6,18.4,18.4,19.37%,19.37%,,
69,51.4,17.6,17.6,25.51%,25.51%,,
8,22.1,-14.1,14.1,-176.25%,176.25%,,
12,11.601,0.399,0.399,3.32%,3.32%,,
88,90.9,-2.9,2.9,-3.30%,3.30%,,
28,25.6,2.4,2.4,8.57%,8.57%,,
29,34.5,-5.5,5.5,-18.97%,18.97%,,
17,20.9,-3.9,3.9,-22.94%,22.94%,,
26,25.401,0.599,0.599,2.30%,2.30%,,
1,2.6,-1.6,1.6,-160.00%,160.00%,,
37,29.601,7.399,7.399,20.00%,20.00%,,
4,19.8,-15.8,15.8,-395.00%,395.00%,,
127,84.4,42.6,42.6,33.54%,33.54%,,
5,11.2,-6.2,6.2,-124.00%,124.00%,,
67,74.2,-7.2,7.2,-10.75%,10.75%,,
35,28.8,6.2,6.2,17.71%,17.71%,,
211,109.901,101.099,101.099,47.91%,47.91%,,
74,57.1,16.9,16.9,22.84%,22.84%,,
54,48.701,5.299,5.299,9.81%,9.81%,,
95,63,32,32,33.68%,33.68%,,
60,56.4,3.6,3.6,6.00%,6.00%,,
18,19.5,-1.5,1.5,-8.33%,8.33%,,
50,50.1,-0.1,0.1,-0.20%,0.20%,,
8,16.6,-8.6,8.6,-107.50%,107.50%,,
27,23,4,4,14.81%,14.81%,,
68,67.5,0.5,0.5,0.74%,0.74%,,
26,52.2,-26.2,26.2,-100.77%,100.77%,,
28,21.5,6.5,6.5,23.21%,23.21%,,
32,38.9,-6.9,6.9,-21.56%,21.56%,,
55,55.4,-0.4,0.4,-0.73%,0.73%,,
107,81.5,25.5,25.5,23.83%,23.83%,,
