player,Team,Role,over_1_f,over_2_f,over_3_f,over_4_f,over_5_f,over_6_f,over_7_f,over_8_f,over_9_f,over_10_f,over_11_f,over_12_f,over_13_f,over_14_f,over_15_f,over_16_f,over_17_f,over_18_f,over_19_f,over_20_f,power_surge_f
PM Siddle,Melbourne Stars,BOWL,0,3,0,1,0,0,1,2,0,2,1,0,1,1,3,1,0,2,0,1,5
Rishad Hossain,Hobart Hurricanes,ALLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP Meredith,Hobart Hurricanes,BOWL,4,0,2,1,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,2,1
Ryan Hadley,Sydney Thunder,BOWL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S Fanning,Perth Scorchers,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA Abbott,Sydney Sixers,BOWL,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,2,0,2
Sam Konstas,Sydney Thunder,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SB Harper,Melbourne Stars,WK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH Johnson,Brisbane Heat,BOWL,1,2,1,2,0,0,0,0,1,0,0,0,0,0,2,1,1,0,1,0,1
Shai Hope,Hobart Hurricanes,WK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sherfane Rutherford,Sydney Thunder,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM Boland,Melbourne Stars,BOWL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPD Smith,Sydney Sixers,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SW Billings,Sydney Thunder,WK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T Kelly,Adelaide Strikers,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T Murphy,Sydney Sixers,BOWL,0,0,0,0,1,1,1,2,0,0,0,1,1,0,1,2,0,0,0,0,0
T Sangha,Sydney Thunder,BOWL,0,0,0,0,1,0,2,0,1,0,2,0,1,0,1,0,0,0,0,0,0
TF Rogers,Melbourne Stars,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TH David,Hobart Hurricanes,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Seifert,Melbourne Renegades,WK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TK Curran,Melbourne Stars,ALLR,0,0,0,3,1,0,0,1,2,1,0,2,0,2,0,1,0,0,1,1,3
TM Head,Adelaide Strikers,ALLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Alsop,Brisbane Heat,WK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TS Rogers,Melbourne Renegades,BOWL,0,5,0,3,0,0,1,0,1,1,1,0,1,1,0,1,1,0,2,0,1
Usama Mir,Melbourne Stars,BOWL,0,0,0,0,0,2,0,1,1,0,2,1,1,1,0,0,1,0,1,0,0
UT Khawaja,Brisbane Heat,BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W Prestwidge,Brisbane Heat,BOWL,0,0,0,0,2,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0
W Sutherland,Melbourne Renegades,ALLR,0,0,0,1,2,1,2,2,0,0,0,3,1,1,2,0,1,0,1,0,3
WA Agar,Sydney Thunder,BOWL,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,1,1
Waqar Salamkheil,Hobart Hurricanes,BOWL,0,0,0,0,1,2,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0
Will Salzmann,Sydney Thunder,ALLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xavier Crone,Melbourne Renegades,BOWL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XC Bartlett,Brisbane Heat,BOWL,4,1,4,1,0,0,0,0,0,0,1,0,1,2,1,0,1,1,1,2,3
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,,,,,,,
