,player,Full_Name,season_fp_lag1,avg_season_fp_lag1,max_season_fp_lag1,min_season_fp_lag1,med_season_fp_lag1,sd_season_fp_lag1,match_cnt_lag1,season_fp_lag2,avg_season_fp_lag2,max_season_fp_lag2,min_season_fp_lag2,med_season_fp_lag2,sd_season_fp_lag2,match_cnt_lag2,season_fp_lag3,avg_season_fp_lag3,max_season_fp_lag3,min_season_fp_lag3,med_season_fp_lag3,sd_season_fp_lag3,match_cnt_lag3
126,B Stanlake,Billy Stanlake,7.0,7.0,7.0,7.0,7.0,,1.0,,,,,,,,,,,,,,
127,MT Steketee,Mark Steketee,34.0,11.333333333333334,27.0,1.0,6.0,13.796134724383252,3.0,334.0,47.714285714285715,108.0,6.0,45.0,36.19260645359439,7.0,494.0,61.75,119.0,9.0,68.5,38.002819444276575,8.0
128,MP Stoinis,Marcus Stoinis,305.0,30.5,94.0,2.0,18.0,33.2874684461819,10.0,331.0,36.77777777777778,112.0,0.0,30.0,40.46534868803733,9.0,230.0,28.75,110.0,0.0,15.5,37.54521084163541,8.0
129,W Sutherland,Will Sutherland,473.0,52.55555555555556,152.0,4.0,35.0,44.749612040528106,9.0,707.0,47.13333333333333,98.0,3.0,50.0,31.79592666334718,15.0,308.0,30.8,74.0,3.0,26.5,22.890075481648275,10.0
130,MJ Swepson,Mitchell Swepson,402.0,44.666666666666664,83.0,2.0,39.0,22.929238975596203,9.0,275.0,21.153846153846153,63.0,2.0,14.0,20.049298216505207,13.0,203.0,40.6,86.0,3.0,32.0,36.569112649885284,5.0
131,HTRY Thornton,Henry Thornton,264.0,37.714285714285715,61.0,7.0,36.0,19.215569084419414,7.0,490.0,54.44444444444444,138.0,8.0,49.0,45.8396965279852,9.0,357.0,51.0,109.0,26.0,44.0,27.820855486487112,7.0
132,AJ Turner,Ashton Turner,19.0,9.5,19.0,0.0,9.5,13.435028842544403,2.0,635.0,42.333333333333336,119.0,1.0,38.0,40.62136430617808,15.0,631.0,45.07142857142857,107.0,2.0,40.0,29.985802501323047,14.0
133,AJ Tye,Andrew Tye,499.0,55.44444444444444,141.0,3.0,48.0,42.18148619688237,9.0,1010.0,63.125,155.0,23.0,54.5,36.31689230463789,16.0,954.0,59.625,117.0,5.0,69.0,41.10778515074729,16.0
134,Callum Vidler,Callum Vidler,,,,,,,,,,,,,,,,,,,,,
135,JM Vince,James Vince,314.0,34.888888888888886,108.0,1.0,18.0,40.526054719292766,9.0,323.0,35.888888888888886,121.0,0.0,26.0,38.03434120779682,9.0,169.0,21.125,64.0,0.0,17.0,20.279740065958862,8.0
136,MS Wade,Matthew Wade,261.0,43.5,112.0,1.0,23.0,45.42576361493552,6.0,402.0,33.5,102.0,0.0,24.5,31.558027360864788,12.0,395.0,30.384615384615383,128.0,0.0,10.0,41.8161421413997,13.0
137,CA Wakim,Charlie Wakim,7.0,7.0,7.0,7.0,7.0,,1.0,,,,,,,,32.0,16.0,20.0,12.0,16.0,5.656854249492381,2.0
138,PI Walter,Paul Walter,670.0,60.90909090909091,144.0,5.0,51.0,41.898578843332004,11.0,,,,,,,,,,,,,,
139,DA Warner,David Warner,60.0,30.0,37.0,23.0,30.0,9.899494936611665,2.0,124.0,20.666666666666668,61.0,0.0,17.5,22.16002406737562,6.0,,,,,,,
140,Doug Warren,Doug Warren,,,,,,,,,,,,,,,,,,,,,
141,J Weatherald,Jake Weatherald,292.0,41.714285714285715,115.0,0.0,10.0,47.20421692219981,7.0,18.0,4.5,10.0,0.0,4.0,4.795831523312719,4.0,268.0,20.615384615384617,61.0,0.0,18.0,17.618827342450373,13.0
142,BJ Webster,Beau Webster,483.0,53.666666666666664,182.0,0.0,37.0,55.34211777660844,9.0,649.0,46.357142857142854,141.0,0.0,40.0,35.79343975745178,14.0,170.0,17.0,85.0,0.0,7.0,25.755258362775812,10.0
143,JW Wells,Jon Wells,208.0,26.0,58.0,6.0,12.0,23.427700332237965,8.0,318.0,22.714285714285715,69.0,0.0,22.0,18.065813747894847,14.0,676.0,39.76470588235294,98.0,0.0,32.0,30.748027196400557,17.0
144,JD Wildermuth,Jack Wildermuth,151.0,50.333333333333336,100.0,4.0,47.0,48.08672720547047,3.0,620.0,51.666666666666664,151.0,6.0,42.0,41.08601472594545,12.0,97.0,13.857142857142858,29.0,1.0,7.0,11.081945849422103,7.0
145,JP Wood,Jack Wood,13.0,13.0,13.0,13.0,13.0,,1.0,51.0,51.0,51.0,51.0,51.0,,1.0,,,,,,,
146,M Wright,Mac Wright,307.0,38.375,98.0,0.0,35.0,30.37356698559739,8.0,66.0,66.0,66.0,66.0,66.0,,1.0,6.0,6.0,6.0,6.0,6.0,,1.0
147,A Zampa,Adam Zampa,235.0,29.375,62.0,6.0,25.0,20.93484791305772,8.0,590.0,42.142857142857146,90.0,3.0,42.5,29.88917257741735,14.0,385.0,38.5,70.0,5.0,36.5,26.15445574955739,10.0
