,match_id,bowler,over_1_f,over_2_f,over_3_f,over_4_f,over_5_f,over_6_f,over_7_f,over_8_f,over_9_f,over_10_f,over_11_f,over_12_f,over_13_f,over_14_f,over_15_f,over_16_f,over_17_f,over_18_f,over_19_f,over_20_f
103,524923,MA Starc,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
104,524923,MC Henriques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
105,524923,SCG MacGill,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0
106,524923,SK Warne,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
107,524923,SPD Smith,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
108,524924,AC Thomas,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
109,524924,AW O'Brien,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
110,524924,B Laughlin,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
111,524924,BE McGain,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
112,524924,J Botha,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
113,524924,JJ Krejza,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
114,524924,KW Richardson,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
115,524924,MJ Johnston,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
116,524924,Naved-ul-Hasan,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
117,524924,RJG Lockyear,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
118,524924,XJ Doherty,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
119,524925,AC McDermott,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
120,524925,BM Edmondson,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
121,524925,DT Christian,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
122,524925,GB Hogg,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0
123,524925,MA Beer,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
124,524925,MG Neser,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
125,524925,MR Marsh,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
126,524925,NJ Rimmington,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
127,524925,NM Coulter-Nile,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
128,524925,NM Hauritz,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
129,524925,RE van der Merwe,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
130,524925,RJ Harris,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
131,524926,AB McDonald,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
132,524926,Abdul Razzaq,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
133,524926,CH Gayle,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,524926,DP Nannes,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
135,524926,FH Edwards,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
136,524926,GJ Maxwell,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,524926,LA Doran,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
138,524926,LR Butterworth,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
139,524926,SA Abbott,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
