,match_id,player,season,resp_var,team,season_fp_lag1,avg_season_fp_lag1,max_season_fp_lag1,min_season_fp_lag1,med_season_fp_lag1,sd_season_fp_lag1,match_cnt_lag1,season_fp_lag2,avg_season_fp_lag2,max_season_fp_lag2,min_season_fp_lag2,med_season_fp_lag2,sd_season_fp_lag2,match_cnt_lag2,season_fp_lag3,avg_season_fp_lag3,max_season_fp_lag3,min_season_fp_lag3,med_season_fp_lag3,sd_season_fp_lag3,match_cnt_lag3,Home_f,rank,opp_Adelaide Strikers,opp_Brisbane Heat,opp_Hobart Hurricanes,opp_Melbourne Renegades,opp_Melbourne Stars,opp_Perth Scorchers,opp_Sydney Sixers,opp_Sydney Thunder,venue_Adelaide Oval,venue_GABBA,venue_Hobart,venue_Marvel,venue_Melbourne Cricket Ground,venue_Other,venue_Perth Stadium,venue_SCG,venue_Sydney Showground,rank_group_High,rank_group_Low,rank_group_Middle,Home_Adelaide Strikers,Home_Melbourne Stars,Home_Melbourne Renegades,Home_Brisbane Heat,Home_Perth Scorchers,Home_Sydney Sixers,Home_Sydney Thunder,Home_Hobart Hurricanes
24,1023647.0,BJ Haddin,6,7.0,Sydney Sixers,287.0,47.833333333333336,107.0,0.0,49.5,43.54040269297778,6.0,,,,,,,,,,,,,,,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,1023647.0,C Munro,6,48.0,Sydney Sixers,,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,1023647.0,DP Hughes,6,46.0,Sydney Sixers,,,,,,,,79.0,19.75,40.0,1.0,19.0,20.1059692628831,4.0,84.0,14.0,32.0,0.0,11.5,14.099645385611653,6.0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,1023647.0,J Botha,6,39.0,Sydney Sixers,230.0,32.857142857142854,70.0,7.0,21.0,25.673777617305504,7.0,488.0,54.22222222222222,125.0,11.0,37.0,39.44546164572604,9.0,213.0,53.25,79.0,20.0,57.0,28.546745290254485,4.0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28,1023647.0,JA Burns,6,64.0,Brisbane Heat,113.0,37.666666666666664,70.0,16.0,27.0,28.53652630109932,3.0,34.0,11.333333333333334,33.0,0.0,1.0,18.77054430040145,3.0,183.0,30.5,99.0,0.0,18.5,38.5784914168504,6.0,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
29,1023647.0,JD Wildermuth,6,77.0,Brisbane Heat,,,,,,,,,,,,,,,,,,,,,,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
30,1023647.0,JJ Peirson,6,34.0,Brisbane Heat,186.0,23.25,76.0,0.0,10.0,26.385872843517713,8.0,207.0,29.571428571428573,87.0,0.0,25.0,30.11565010011208,7.0,,,,,,,,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
31,1023647.0,JM Bird,6,9.0,Sydney Sixers,218.0,31.142857142857142,62.0,7.0,33.0,17.724075635780196,7.0,339.0,37.666666666666664,78.0,4.0,32.0,26.043233286210835,9.0,454.0,64.85714285714286,106.0,27.0,56.0,29.700889837559703,7.0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32,1023647.0,M Labuschagne,6,22.0,Brisbane Heat,,,,,,,,,,,,,,,,,,,,,,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
33,1023647.0,MC Henriques,6,117.0,Sydney Sixers,197.0,65.66666666666667,140.0,11.0,46.0,66.7108187128095,3.0,541.0,60.111111111111114,121.0,23.0,44.0,32.55934752280996,9.0,405.0,50.625,109.0,1.0,44.5,39.28262974903793,8.0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
