,Name,player,Team,opp,venue,Home_f,Round,Full_Name,season_fp_lag1,avg_season_fp_lag1,max_season_fp_lag1,min_season_fp_lag1,med_season_fp_lag1,sd_season_fp_lag1,match_cnt_lag1,season_fp_lag2,avg_season_fp_lag2,max_season_fp_lag2,min_season_fp_lag2,med_season_fp_lag2,sd_season_fp_lag2,match_cnt_lag2,season_fp_lag3,avg_season_fp_lag3,max_season_fp_lag3,min_season_fp_lag3,med_season_fp_lag3,sd_season_fp_lag3,match_cnt_lag3,season,rank,rank_group,exp_pts
50,Tom Alsop,Tom Alsop,Brisbane Heat,Melbourne Stars,Melbourne Cricket Ground,0,1,Tom Alsop,,,,,,,,,,,,,,,,,,,,,,14,3,Middle,9.746374200000007
51,Tom Alsop,Tom Alsop,Brisbane Heat,Adelaide Strikers,GABBA,1,2,Tom Alsop,,,,,,,,,,,,,,,,,,,,,,14,3,Middle,10.556227000000007
52,Tom Alsop,Tom Alsop,Brisbane Heat,Sydney Sixers,Perth Stadium,0,3,Tom Alsop,,,,,,,,,,,,,,,,,,,,,,14,3,Middle,23.567209866666662
53,Tom Alsop,Tom Alsop,Brisbane Heat,Perth Scorchers,GABBA,1,3,Tom Alsop,,,,,,,,,,,,,,,,,,,,,,14,3,Middle,16.297692571428545
54,Tom Alsop,Tom Alsop,Brisbane Heat,Melbourne Stars,GABBA,1,4,Tom Alsop,,,,,,,,,,,,,,,,,,,,,,14,3,Middle,10.439362700000066
55,Tom Alsop,Tom Alsop,Brisbane Heat,Sydney Sixers,Other,0,5,Tom Alsop,,,,,,,,,,,,,,,,,,,,,,14,3,Middle,23.567209866666662
56,Tom Alsop,Tom Alsop,Brisbane Heat,Sydney Thunder,GABBA,1,6,Tom Alsop,,,,,,,,,,,,,,,,,,,,,,14,3,Middle,18.69476976666663
57,Tom Alsop,Tom Alsop,Brisbane Heat,Adelaide Strikers,Adelaide Oval,0,7,Tom Alsop,,,,,,,,,,,,,,,,,,,,,,14,3,Middle,10.291915414285716
58,Tom Alsop,Tom Alsop,Brisbane Heat,Hobart Hurricanes,GABBA,1,8,Tom Alsop,,,,,,,,,,,,,,,,,,,,,,14,3,Middle,14.622515999999992
59,Tom Alsop,Tom Alsop,Brisbane Heat,Melbourne Renegades,Marvel,0,9,Tom Alsop,,,,,,,,,,,,,,,,,,,,,,14,3,Middle,21.880832814285696
60,Cameron Bancroft,CT Bancroft,Sydney Thunder,Adelaide Strikers,Other,0,1,Cameron Bancroft,280.0,31.11111111111111,94.0,2.0,21.0,29.126639200414303,9.0,462.0,42.0,130.0,1.0,15.0,46.66690476129738,11.0,168.0,21.0,45.0,5.0,24.5,14.481515311399068,8.0,14,4,Middle,19.019113833333286
61,Cameron Bancroft,CT Bancroft,Sydney Thunder,Sydney Sixers,Sydney Showground,1,2,Cameron Bancroft,280.0,31.11111111111111,94.0,2.0,21.0,29.126639200414303,9.0,462.0,42.0,130.0,1.0,15.0,46.66690476129738,11.0,168.0,21.0,45.0,5.0,24.5,14.481515311399068,8.0,14,4,Middle,24.009720666666567
62,Cameron Bancroft,CT Bancroft,Sydney Thunder,Melbourne Stars,Other,0,3,Cameron Bancroft,280.0,31.11111111111111,94.0,2.0,21.0,29.126639200414303,9.0,462.0,42.0,130.0,1.0,15.0,46.66690476129738,11.0,168.0,21.0,45.0,5.0,24.5,14.481515311399068,8.0,14,4,Middle,18.46562133333328
