,player,match_id,innings,bat_position
5,JW Wells,1023627.0,2.0,6.0
6,BJ Webster,1023627.0,2.0,7.0
7,SL Rainbird,1023627.0,2.0,8.0
8,CJ Boyce,1023627.0,2.0,9.0
9,SCJ Broad,1023627.0,2.0,10.0
0,J Weatherald,1023623.0,1.0,1.0
1,BR Dunk,1023623.0,1.0,2.0
2,TP Ludeman,1023623.0,1.0,3.0
3,BJ Hodge,1023623.0,1.0,4.0
4,KA Pollard,1023623.0,1.0,5.0
5,JR Dean,1023623.0,1.0,6.0
6,KR Smith,1023623.0,1.0,7.0
7,IS Sodhi,1023623.0,1.0,8.0
8,MG Neser,1023623.0,1.0,9.0
9,WA Agar,1023623.0,1.0,10.0
0,RJ Quiney,1023623.0,2.0,1.0
1,LJ Wright,1023623.0,2.0,2.0
2,KP Pietersen,1023623.0,2.0,3.0
3,PSP Handscomb,1023623.0,2.0,4.0
4,MP Stoinis,1023623.0,2.0,5.0
5,DJ Hussey,1023623.0,2.0,6.0
6,EP Gulbis,1023623.0,2.0,7.0
7,BW Hilfenhaus,1023623.0,2.0,8.0
8,SM Boland,1023623.0,2.0,9.0
9,MA Beer,1023623.0,2.0,10.0
0,SP Narine,1023621.0,1.0,1.0
1,AJ Finch,1023621.0,1.0,2.0
2,CL White,1023621.0,1.0,3.0
3,TLW Cooper,1023621.0,1.0,4.0
4,CJ Ferguson,1023621.0,1.0,5.0
5,NLTC Perera,1023621.0,1.0,6.0
6,MW Short,1023621.0,1.0,7.0
0,DP Hughes,1023621.0,2.0,1.0
1,MJ Lumb,1023621.0,2.0,2.0
2,NJ Maddinson,1023621.0,2.0,3.0
3,MC Henriques,1023621.0,2.0,4.0
4,BJ Haddin,1023621.0,2.0,5.0
5,JC Silk,1023621.0,2.0,6.0
0,TD Paine,1023619.0,1.0,1.0
1,BR McDermott,1023619.0,1.0,2.0
2,DJM Short,1023619.0,1.0,3.0
3,GJ Bailey,1023619.0,1.0,4.0
4,DT Christian,1023619.0,1.0,5.0
5,JW Wells,1023619.0,1.0,6.0
6,BJ Webster,1023619.0,1.0,7.0
7,CJ Boyce,1023619.0,1.0,8.0
8,CA Rose,1023619.0,1.0,9.0
0,KR Patterson,1023619.0,2.0,1.0
1,JM Vince,1023619.0,2.0,2.0
2,SR Watson,1023619.0,2.0,3.0
3,BJ Rohrer,1023619.0,2.0,4.0
4,CR Brathwaite,1023619.0,2.0,5.0
5,PJ Cummins,1023619.0,2.0,6.0
0,RJ Quiney,1023617.0,1.0,1.0
1,LJ Wright,1023617.0,1.0,2.0
2,KP Pietersen,1023617.0,1.0,3.0
3,GJ Maxwell,1023617.0,1.0,4.0
4,SB Harper,1023617.0,1.0,5.0
5,DJ Hussey,1023617.0,1.0,6.0
6,JP Faulkner,1023617.0,1.0,7.0
7,A Zampa,1023617.0,1.0,8.0
8,BW Hilfenhaus,1023617.0,1.0,9.0
0,SP Narine,1023617.0,2.0,1.0
1,AJ Finch,1023617.0,2.0,2.0
2,MS Harris,1023617.0,2.0,3.0
3,CL White,1023617.0,2.0,4.0
4,TL Lawford,1023617.0,2.0,5.0
5,TLW Cooper,1023617.0,2.0,6.0
6,CJ Ferguson,1023617.0,2.0,7.0
7,PM Nevill,1023617.0,2.0,8.0
8,JL Pattinson,1023617.0,2.0,9.0
9,CP Tremain,1023617.0,2.0,10.0
10,GB Hogg,1023617.0,2.0,11.0
0,TD Paine,1023615.0,1.0,1.0
1,DJM Short,1023615.0,1.0,2.0
2,KC Sangakkara,1023615.0,1.0,3.0
3,GJ Bailey,1023615.0,1.0,4.0
4,DT Christian,1023615.0,1.0,5.0
5,JW Wells,1023615.0,1.0,6.0
6,BJ Webster,1023615.0,1.0,7.0
7,HP Kingston,1023615.0,1.0,8.0
8,CJ Boyce,1023615.0,1.0,9.0
9,CA Rose,1023615.0,1.0,10.0
0,J Weatherald,1023615.0,2.0,1.0
1,BR Dunk,1023615.0,2.0,2.0
2,TM Head,1023615.0,2.0,3.0
3,BJ Hodge,1023615.0,2.0,4.0
4,KA Pollard,1023615.0,2.0,5.0
5,JR Dean,1023615.0,2.0,6.0
6,CJ Jordan,1023615.0,2.0,7.0
0,M Klinger,1023613.0,1.0,1.0
1,SE Marsh,1023613.0,1.0,2.0
2,IR Bell,1023613.0,1.0,3.0
3,MR Marsh,1023613.0,1.0,4.0
4,AJ Turner,1023613.0,1.0,5.0
5,SM Whiteman,1023613.0,1.0,6.0
6,AC Agar,1023613.0,1.0,7.0
7,DJ Willey,1023613.0,1.0,8.0
0,JJ Peirson,1023613.0,2.0,1.0
1,BB McCullum,1023613.0,2.0,2.0
2,CA Lynn,1023613.0,2.0,3.0
0,GJ Maxwell,1023611.0,1.0,1.0
1,LJ Wright,1023611.0,1.0,2.0
2,KP Pietersen,1023611.0,1.0,3.0
3,DJ Hussey,1023611.0,1.0,4.0
4,JP Faulkner,1023611.0,1.0,5.0
5,MP Stoinis,1023611.0,1.0,6.0
6,SB Harper,1023611.0,1.0,7.0
7,A Zampa,1023611.0,1.0,8.0
8,BW Hilfenhaus,1023611.0,1.0,9.0
9,SM Boland,1023611.0,1.0,10.0
0,KR Patterson,1023611.0,2.0,1.0
1,AC Blizzard,1023611.0,2.0,2.0
2,SR Watson,1023611.0,2.0,3.0
3,EJG Morgan,1023611.0,2.0,4.0
4,BJ Rohrer,1023611.0,2.0,5.0
5,PJ Cummins,1023611.0,2.0,6.0
0,JJ Peirson,1023609.0,1.0,1.0
1,BB McCullum,1023609.0,1.0,2.0
2,CA Lynn,1023609.0,1.0,3.0
3,AI Ross,1023609.0,1.0,4.0
4,JA Burns,1023609.0,1.0,5.0
5,BCJ Cutting,1023609.0,1.0,6.0
6,JD Wildermuth,1023609.0,1.0,7.0
7,ND Buchanan,1023609.0,1.0,8.0
0,DP Hughes,1023609.0,2.0,1.0
1,JJ Roy,1023609.0,2.0,2.0
2,NJ Maddinson,1023609.0,2.0,3.0
3,MC Henriques,1023609.0,2.0,4.0
4,SW Billings,1023609.0,2.0,5.0
5,BJ Haddin,1023609.0,2.0,6.0
6,J Botha,1023609.0,2.0,7.0
7,SA Abbott,1023609.0,2.0,8.0
8,BJ Dwarshuis,1023609.0,2.0,9.0
0,J Weatherald,1023607.0,1.0,1.0
