Last_Name,First_Name,First_Name_Short,Full_Name,player,Price,Team,Role,Available
Richardson,Jhye,JA,Jhye Richardson,JA Richardson,130000,Perth Scorchers,BOWL,1
Richardson,Kane,KW,Kane Richardson,KW Richardson,97900,Melbourne Renegades,BOWL,1
Rogers,Tom,TS,Tom Rogers,TS Rogers,117500,Melbourne Renegades,BOWL,1
Rogers,Tom,TF,Tom Rogers,TF Rogers,87700,Melbourne Stars,BAT,1
Ross,Alex,AI,Alex Ross,AI Ross,84500,Adelaide Strikers,BAT,1
Rutherford,Sherfane,,Sherfane Rutherford,Sherfane Rutherford,152000,Sydney Thunder,BAT,1
Salamkheil,Waqar,,Waqar Salamkheil,Waqar Salamkheil,117500,Hobart Hurricanes,BOWL,1
Salzmann,Will,,Will Salzmann,Will Salzmann,39500,Sydney Thunder,ALLR,0
Sams,Daniel,DR,Daniel Sams,DR Sams,162800,Sydney Thunder,ALLR,1
Sandhu,Gurinder,GS,Gurinder Sandhu,GS Sandhu,94100,Melbourne Renegades,BOWL,1
Sangha,Jason,JJS,Jason Sangha,JJS Sangha,73800,Sydney Thunder,BAT,1
Sangha,Tanveer,T,Tanveer Sangha,T Sangha,116200,Sydney Thunder,BOWL,1
Scott,Liam,,Liam Scott,Liam Scott,39500,Adelaide Strikers,ALLR,1
Seifert,Tim,,Tim Seifert,Tim Seifert,152000,Melbourne Renegades,WK,1
Short,D'Arcy,DJM,D'Arcy Short,DJM Short,114200,Adelaide Strikers,BAT,1
Short,Matthew,MW,Matthew Short,MW Short,304200,Adelaide Strikers,ALLR,1
Siddle,Peter,PM,Peter Siddle,PM Siddle,72400,Melbourne Stars,BOWL,1
Silk,Jordan,JC,Jordan Silk,JC Silk,102700,Sydney Sixers,BAT,1
Smith,Steve,SPD,Steve Smith,SPD Smith,218400,Sydney Sixers,BAT,0
Spoors,Matthew,,Matthew Spoors,Matthew Spoors,58500,Perth Scorchers,ALLR,0
Stanlake,Billy,B,Billy Stanlake,B Stanlake,58500,Hobart Hurricanes,BOWL,1
Steketee,Mark,MT,Mark Steketee,MT Steketee,79100,Melbourne Stars,BOWL,0
Stoinis,Marcus,MP,Marcus Stoinis,MP Stoinis,84200,Melbourne Stars,ALLR,1
Sutherland,Will,W,Will Sutherland,W Sutherland,132600,Melbourne Renegades,ALLR,1
Swepson,Mitchell,MJ,Mitchell Swepson,MJ Swepson,110000,Brisbane Heat,BOWL,1
Thornton,Henry,HTRY,Henry Thornton,HTRY Thornton,98100,Adelaide Strikers,BOWL,1
Turner,Ashton,AJ,Ashton Turner,AJ Turner,70400,Perth Scorchers,BAT,1
Tye,Andrew,AJ,Andrew Tye,AJ Tye,140800,Perth Scorchers,BOWL,1
Vidler,Callum,,Callum Vidler,Callum Vidler,39500,Brisbane Heat,BOWL,0
Vince,James,JM,James Vince,JM Vince,130900,Sydney Sixers,BAT,1
Wade,Matthew,MS,Matthew Wade,MS Wade,150600,Hobart Hurricanes,WK,1
Wakim,Charlie,CA,Charlie Wakim,CA Wakim,39500,Hobart Hurricanes,BAT,0
Walter,Paul,PI,Paul Walter,PI Walter,187200,Brisbane Heat,ALLR,1
Warner,David,DA,David Warner,DA Warner,152000,Sydney Thunder,BAT,1
Warren,Doug,,Doug Warren,Doug Warren,39500,Melbourne Stars,BOWL,0
Weatherald,Jake,J,Jake Weatherald,J Weatherald,114000,Adelaide Strikers,BAT,1
Webster,Beau,BJ,Beau Webster,BJ Webster,164000,Melbourne Stars,ALLR,1
Wells,Jon,JW,Jon Wells,JW Wells,78100,Melbourne Renegades,BAT,1
Wildermuth,Jack,JD,Jack Wildermuth,JD Wildermuth,58500,Brisbane Heat,ALLR,0
Wood,Jack,JP,Jack Wood,JP Wood,58500,Brisbane Heat,ALLR,0
Wright,Mac,M,Mac Wright,M Wright,126300,Hobart Hurricanes,BAT,1
Zampa,Adam,A,Adam Zampa,A Zampa,80100,Melbourne Renegades,BOWL,1
