match_id,player,season,team,power_surge_flag,opp_Adelaide Strikers,opp_Brisbane Heat,opp_Hobart Hurricanes,opp_Melbourne Renegades,opp_Melbourne Stars,opp_Perth Scorchers,opp_Sydney Sixers,opp_Sydney Thunder
1226830,KW Richardson,10,Melbourne Renegades,0,0,0,1,0,0,0,0,0
1226830,Mohammad Nabi,10,Melbourne Renegades,0,0,0,1,0,0,0,0,0
1226830,Noor Ahmad,10,Melbourne Renegades,0,0,0,1,0,0,0,0,0
1226830,RR Rossouw,10,Melbourne Renegades,0,0,0,1,0,0,0,0,0
1226830,SB Harper,10,Melbourne Renegades,0,0,0,1,0,0,0,0,0
1226830,SE Marsh,10,Melbourne Renegades,0,0,0,1,0,0,0,0,0
1226830,W Sutherland,10,Melbourne Renegades,0,0,0,1,0,0,0,0,0
1226831,AJ Turner,10,Perth Scorchers,0,0,0,0,0,0,0,0,1
1226831,AJ Tye,10,Perth Scorchers,0,0,0,0,0,0,0,0,1
1226831,AM Hardie,10,Perth Scorchers,0,0,0,0,0,0,0,0,1
1226831,C Munro,10,Perth Scorchers,0,0,0,0,0,0,0,0,1
1226831,CT Bancroft,10,Perth Scorchers,0,0,0,0,0,0,0,0,1
1226831,Fawad Ahmed,10,Perth Scorchers,0,0,0,0,0,0,0,0,1
1226831,JA Richardson,10,Perth Scorchers,0,0,0,0,0,0,0,0,1
1226831,JM Clarke,10,Perth Scorchers,0,0,0,0,0,0,0,0,1
1226831,JP Behrendorff,10,Perth Scorchers,0,0,0,0,0,0,0,0,1
1226831,JP Inglis,10,Perth Scorchers,0,0,0,0,0,0,0,0,1
1226831,MR Marsh,10,Perth Scorchers,0,0,0,0,0,0,0,0,1
1226831,AD Hales,10,Sydney Thunder,0,0,0,0,0,0,1,0,0
1226831,AF Milne,10,Sydney Thunder,0,0,0,0,0,0,1,0,0
1226831,BCJ Cutting,10,Sydney Thunder,0,0,0,0,0,0,1,0,0
1226831,CJ Ferguson,10,Sydney Thunder,0,0,0,0,0,0,1,0,0
1226831,CJ Green,10,Sydney Thunder,0,0,0,0,0,0,1,0,0
1226831,DR Sams,10,Sydney Thunder,0,0,0,0,0,0,1,0,0
1226831,N McAndrew,10,Sydney Thunder,0,0,0,0,0,0,1,0,0
1226831,O Davies,10,Sydney Thunder,0,0,0,0,0,0,1,0,0
1226831,T Sangha,10,Sydney Thunder,0,0,0,0,0,0,1,0,0
1226831,UT Khawaja,10,Sydney Thunder,0,0,0,0,0,0,1,0,0
1226832,JA Burns,10,Brisbane Heat,0,0,0,0,0,0,0,1,0
1226832,JD Wildermuth,10,Brisbane Heat,0,0,0,0,0,0,0,1,0
1226832,JJ Bazley,10,Brisbane Heat,0,0,0,0,0,0,0,1,0
1226832,JJ Peirson,10,Brisbane Heat,0,0,0,0,0,0,0,1,0
1226832,JL Denly,10,Brisbane Heat,0,0,0,0,0,0,0,1,0
1226832,L Gregory,10,Brisbane Heat,0,0,0,0,0,0,0,1,0
1226832,M Bryant,10,Brisbane Heat,0,0,0,0,0,0,0,1,0
1226832,MP Kuhnemann,10,Brisbane Heat,0,0,0,0,0,0,0,1,0
1226832,MT Steketee,10,Brisbane Heat,0,0,0,0,0,0,0,1,0
1226832,Mujeeb Ur Rahman,10,Brisbane Heat,0,0,0,0,0,0,0,1,0
1226832,SD Heazlett,10,Brisbane Heat,0,0,0,0,0,0,0,1,0
1226832,XC Bartlett,10,Brisbane Heat,0,0,0,0,0,0,0,1,0
1226832,BAD Manenti,10,Sydney Sixers,0,0,1,0,0,0,0,0,0
1226832,BJ Dwarshuis,10,Sydney Sixers,0,0,1,0,0,0,0,0,0
1226832,CR Brathwaite,10,Sydney Sixers,0,0,1,0,0,0,0,0,0
1226832,DP Hughes,10,Sydney Sixers,0,0,1,0,0,0,0,0,0
1226832,DT Christian,10,Sydney Sixers,0,0,1,0,0,0,0,0,0
1226832,J Edwards,10,Sydney Sixers,0,0,1,0,0,0,0,0,0
1226832,JC Silk,10,Sydney Sixers,0,0,1,0,0,0,0,0,0
1226832,JM Bird,10,Sydney Sixers,0,0,1,0,0,0,0,0,0
1226832,JM Vince,10,Sydney Sixers,0,0,1,0,0,0,0,0,0
1226832,JR Philippe,10,Sydney Sixers,0,0,1,0,0,0,0,0,0
1226832,SNJ O'Keefe,10,Sydney Sixers,0,0,1,0,0,0,0,0,0
1226833,AT Carey,10,Adelaide Strikers,0,0,0,0,1,0,0,0,0
1226833,DR Briggs,10,Adelaide Strikers,0,0,0,0,1,0,0,0,0
1226833,HNA Conway,10,Adelaide Strikers,0,0,0,0,1,0,0,0,0
1226833,J Weatherald,10,Adelaide Strikers,0,0,0,0,1,0,0,0,0
1226833,JW Wells,10,Adelaide Strikers,0,0,0,0,1,0,0,0,0
