player,Team,Role,bat_position_1.0,bat_position_2.0,bat_position_3.0,bat_position_4.0,bat_position_5.0,bat_position_6.0,bat_position_7.0,bat_position_8.0,bat_position_9.0,bat_position_10.0,bat_position_11.0,bat_position_DNB
Nikhil Chaudhary,Hobart Hurricanes,ALLR,0,0,0,3,5,0,0,0,0,0,0,1
Jafer Chohan,Sydney Sixers,BOWL,0,0,0,0,0,0,0,0,0,0,0,1
JM Clarke,Melbourne Stars,WK,2,0,0,0,0,0,0,0,0,0,0,0
C Connolly,Perth Scorchers,ALLR,0,0,4,6,0,0,0,0,0,0,0,0
BL Couch,Melbourne Stars,BOWL,0,0,0,0,0,0,0,0,0,2,0,1
Xavier Crone,Melbourne Renegades,BOWL,0,0,0,0,0,0,0,1,0,0,0,0
TK Curran,Melbourne Stars,ALLR,0,0,0,0,0,0,4,1,0,0,0,0
TH David,Hobart Hurricanes,BAT,0,0,0,0,2,4,2,0,0,0,0,1
JA Davies,Sydney Sixers,ALLR,0,0,0,0,0,1,0,0,0,0,0,2
O Davies,Sydney Thunder,BAT,1,0,0,6,0,0,0,0,0,0,0,0
Harry Dixon,Melbourne Renegades,BAT,0,0,0,0,0,1,2,0,0,0,0,0
B Doggett,Adelaide Strikers,BOWL,0,0,0,0,0,0,0,1,1,0,0,4
PG Dooley,Hobart Hurricanes,BOWL,0,0,0,0,0,0,0,0,0,0,0,0
Jake Doran,Hobart Hurricanes,WK,0,0,0,0,1,0,1,0,0,0,0,0
BM Duckett,Melbourne Stars,WK,3,4,0,0,0,0,0,0,0,0,0,0
BJ Dwarshuis,Sydney Sixers,BOWL,0,0,0,0,1,0,2,3,0,0,0,2
J Edwards,Sydney Sixers,ALLR,0,0,3,0,0,2,0,0,0,0,0,2
NT Ellis,Hobart Hurricanes,BOWL,0,0,0,0,0,0,0,2,0,1,0,5
LJ Evans,Melbourne Renegades,BAT,0,0,0,0,5,2,0,0,0,0,0,0
S Fanning,Perth Scorchers,BAT,3,0,0,0,0,0,0,0,0,0,0,0
Lockie Ferguson,Sydney Thunder,BOWL,0,0,0,0,0,0,0,0,0,3,0,3
J Fraser-McGurk,Melbourne Renegades,BAT,2,4,4,0,0,0,0,0,0,0,0,0
M Gilkes,Sydney Thunder,WK,0,0,4,0,0,1,0,0,0,0,0,0
CJ Green,Sydney Thunder,BOWL,0,0,0,0,0,1,5,0,0,0,0,2
Ryan Hadley,Sydney Thunder,BOWL,0,0,0,0,0,0,0,0,0,0,0,0
AM Hardie,Perth Scorchers,ALLR,1,0,5,1,0,0,0,0,0,0,0,0
SB Harper,Melbourne Stars,WK,4,1,5,0,0,0,0,0,0,0,0,0
MS Harris,Melbourne Renegades,BAT,0,3,0,0,0,0,0,0,0,0,0,0
MW Harvey,Melbourne Renegades,BAT,0,0,0,1,1,3,0,0,0,0,0,0
LC Hatcher,Sydney Thunder,BOWL,0,0,0,0,0,0,0,0,0,0,0,0
P Hatzoglou,Hobart Hurricanes,BOWL,0,0,0,0,0,0,0,1,0,0,0,3
TM Head,Adelaide Strikers,ALLR,0,0,0,0,0,0,0,0,0,0,0,0
MC Henriques,Sydney Sixers,ALLR,0,0,1,7,0,0,0,0,0,0,0,0
NR Hobson,Perth Scorchers,BAT,0,0,0,0,0,7,2,0,0,0,0,1
Shai Hope,Hobart Hurricanes,WK,0,0,5,0,0,0,0,0,0,0,0,0
AJ Hosein,Sydney Sixers,BOWL,0,0,0,0,0,0,0,0,1,1,0,3
