Last_Name,First_Name,First_Name_Short,Full_Name,player,Price,Team,Role,Available,In_Team
Stoinis,Marcus,MP,Marcus Stoinis,MP Stoinis,102800,Melbourne Stars,ALLR,0,0
Sutherland,Will,W,Will Sutherland,W Sutherland,163800,Melbourne Renegades,ALLR,1,0
Swepson,Mitchell,MJ,Mitchell Swepson,MJ Swepson,113500,Brisbane Heat,BOWL,1,0
Thornton,Henry,HTRY,Henry Thornton,HTRY Thornton,102600,Adelaide Strikers,BOWL,0,0
Turner,Ashton,AJ,Ashton Turner,AJ Turner,76000,Perth Scorchers,BAT,0,0
Tye,Andrew,AJ,Andrew Tye,AJ Tye,137300,Perth Scorchers,BOWL,0,0
Vidler,Callum,,Callum Vidler,Callum Vidler,39500,Brisbane Heat,BOWL,0,0
Vince,James,JM,James Vince,JM Vince,132200,Sydney Sixers,BAT,1,0
Wade,Matthew,MS,Matthew Wade,MS Wade,139200,Hobart Hurricanes,WK,0,0
Wakim,Charlie,CA,Charlie Wakim,CA Wakim,39500,Hobart Hurricanes,BAT,0,0
Walter,Paul,PI,Paul Walter,PI Walter,174700,Brisbane Heat,ALLR,1,0
Warner,David,DA,David Warner,DA Warner,143400,Sydney Thunder,BAT,1,0
Warren,Doug,,Doug Warren,Doug Warren,39500,Melbourne Stars,BOWL,0,0
Weatherald,Jake,J,Jake Weatherald,J Weatherald,120400,Adelaide Strikers,BAT,0,0
Webster,Beau,BJ,Beau Webster,BJ Webster,153400,Melbourne Stars,ALLR,0,1
Wells,Jon,JW,Jon Wells,JW Wells,78100,Melbourne Renegades,BAT,1,0
Wildermuth,Jack,JD,Jack Wildermuth,JD Wildermuth,58500,Brisbane Heat,ALLR,0,0
Wood,Jack,JP,Jack Wood,JP Wood,63900,Brisbane Heat,ALLR,0,0
Wright,Mac,M,Mac Wright,M Wright,126300,Hobart Hurricanes,BAT,0,0
Zampa,Adam,A,Adam Zampa,A Zampa,75500,Melbourne Renegades,BOWL,1,0
